Gene	vsNaive	vsPrimed	AveExpr	P.Value
CIDEC	0.049971297	0.711709991	0.711008036	0.920625409
PEX10	-0.327266072	-0.065366142	2.042372912	0.920640227
SLFN12L	-0.006571088	-0.009133186	0.011724933	0.920645701
MIR4754	-0.015743628	-0.002434993	0.017650784	0.920660811
AL603910.1	-0.015945995	-0.003096154	0.013972348	0.920725117
C3orf67-AS1	-0.0028263	-0.019190237	0.005043027	0.920794253
AC013472.1	-0.032283497	-0.002950634	0.028287746	0.920815902
KCNJ9	-0.002893102	-0.012920515	0.005162223	0.920832046
NHP2P1	-0.587192219	-0.034422527	4.146422458	0.920900825
RNU1-109P	-0.002713738	-0.010180811	0.004842181	0.920980769
ARL14	-0.018251334	-0.003262454	0.018055573	0.920990513
NPHP3	-0.041307479	-0.579256812	0.555978033	0.920996425
ILDR2	-0.231530071	-0.005304802	0.224872605	0.921298299
AL353622.1	-0.027034197	-0.131999472	0.211294229	0.921311117
GMDS	0.069770763	0.751493818	2.918198467	0.921315349
HMGN1P35	-0.014653503	-0.089461316	0.154241508	0.921377469
UFSP1	0.029170383	0.113431485	0.276960936	0.921429777
CYP4Z2P	-0.007431938	-0.002498307	0.007635055	0.921546419
PDIA2	-0.061460837	-0.005441417	0.070299091	0.921582993
AC000120.1	-0.055890837	-0.002843385	0.050655741	0.921636822
GLYCTK-AS1	0.044103656	0.015466474	0.019769994	0.921706921
RPL9P21	-0.019387596	-0.149602007	0.371220329	0.921709583
KRT18P62	0.005819848	0.017680187	0.014676001	0.921772957
U1_ENSG00000273768	-0.18673692	-0.002722617	0.202508393	0.921801802
AC092720.1	-0.003046834	-0.022169211	0.005436531	0.921818867
MIR106B	-0.024755447	-0.004046514	0.025738658	0.92182628
ZNF225	0.085463242	1.030922292	1.770323223	0.921853193
Y_RNA_ENSG00000202318	-0.034726718	-0.004081193	0.040262531	0.921945322
AC253536.3	-0.010118137	-0.005729345	0.010248068	0.922073028
GMFBP1	0.036521736	0.050587241	0.942773719	0.922099863
CCDC71L	-0.669468315	-0.053025351	1.288276822	0.922113687
IL17RB	-0.259547774	-0.047771795	0.689518265	0.922149389
CPXM2	-0.757038418	-0.020146987	0.82187495	0.922180819
AC025750.2	-0.025918643	-0.151565155	0.759497949	0.922320087
AC027018.1	-0.100551768	-0.025391103	0.241555687	0.922364044
DGCR8	0.058938817	2.019770563	3.281018283	0.922376623
AL080250.1	-0.400710683	-0.030821728	0.565751768	0.92238543
LPA	-0.016368017	-0.003283461	0.014342136	0.9223973
INTS6L	-2.442124295	-0.059475299	2.844673854	0.922419007
ACOXL-AS1	0.020545403	0.10366978	0.149847208	0.922428237
AL772337.1	-0.019008366	-0.00285412	0.019763435	0.922449755
AC068724.2	-0.01578037	-0.005767443	0.018543882	0.92251047
NPFFR2	1.430461308	0.090732079	0.502146157	0.922529128
MTCYBP16	-0.014082152	-0.024758122	0.206082101	0.92259878
ALG9	0.053033972	0.278010092	0.879962759	0.922605384
CLRN1	-0.012650493	-0.003789332	0.011084733	0.922770643
AL390067.1	-0.011885162	-0.005161341	0.012857816	0.922868309
NECAP1P1	0.012258462	0.052771687	0.137568606	0.922975859
OPLAH	0.044554505	0.488431071	0.595448392	0.922991647
AL583722.1	-0.006580947	-0.012802887	0.011742524	0.923056733
TEX29	-0.027157876	-0.005802652	0.023796527	0.923062227
GLTPP1	-0.003027342	-0.001285227	0.005401752	0.923128962
AC011451.1	0.023111661	0.10565433	0.183940874	0.923241039
BANF1P2	0.014773792	0.023405898	0.199853711	0.923248505
RNA5SP172	-0.009743411	-0.002654909	0.008537463	0.923289742
AL844908.1	-0.010616811	-0.008232234	0.009302761	0.923311204
RAB27B	0.012905016	0.073646071	0.061580235	0.923333585
GTDC1	-2.319047421	-0.093491805	4.35506092	0.923355075
RPL7P19	-0.029629753	-0.745354495	1.102237461	0.923386137
RFLNA	0.057620745	1.005760145	1.117261321	0.923457649
EZH2P1	-0.021625006	-0.160135351	0.348085587	0.92352034
AC008592.3	-0.015936882	-0.24497404	0.1562909	0.923555991
KRT18P58	-0.005674281	-0.033763094	0.027188398	0.923571208
CLCNKB	0.147144176	0.023379813	0.013892528	0.923690495
CASS4	-0.023038265	-0.003985788	0.021401675	0.923691641
LINC01142	-0.019379308	-0.003461487	0.016980717	0.923694174
SGO1P1	-0.014687729	-0.003904366	0.013987763	0.92386146
AC112198.1	-0.014787266	-0.147374619	0.157324268	0.92386284
LINC01967	0.029923225	0.10855232	0.330491865	0.923896999
HCRTR1	-0.015484386	-0.002633797	0.013567873	0.923939996
TCAP	-0.059149967	-0.004204663	0.059800576	0.923960767
DDX19B	0.051628267	0.331616914	3.116140308	0.923992698
AC244669.1	-0.0131492	-0.214671759	0.118739293	0.924010663
TMA16P2	0.029166279	0.116393752	0.661201034	0.924018447
OLFM2	-0.023147655	-1.381237851	0.208338505	0.924295704
AC119751.4	0.023410088	0.222254088	0.205648566	0.924342447
AC237221.2	-0.012913348	-0.004377149	0.014241375	0.924345928
HDAC11-AS1	-0.010076423	-0.003276483	0.014946951	0.92435538
NPM1P42	0.057397317	0.015294548	0.161185538	0.924465982
RPP30	-0.047018222	-0.072673213	5.389972511	0.924493399
AC008269.2	-0.110454435	-0.004405924	0.103555367	0.924511297
PHF21A	-0.428477103	-0.060556477	1.544722986	0.924541826
TMSB15A	-0.037114945	-8.021803511	0.41424898	0.924546159
ARIH2OS	0.035915585	0.142294152	0.495670526	0.924642276
ARFGEF1	-1.998830613	-0.101736316	6.955448552	0.924670514
OR7E100P	-0.062259668	-0.006004908	0.059782487	0.924711555
ECE2	0.044617183	1.929232891	5.189354179	0.924727887
RNF10	0.04328764	1.111038234	6.051437704	0.924773729
C8orf59P2	-0.004026177	-0.003174624	0.007183994	0.924831215
HMGN2P40	-0.017960313	-0.189629146	0.173037031	0.924933618
STAP2	0.452482429	0.051183257	0.586084222	0.924991515
CD84	-0.013878253	-0.004131357	0.012160532	0.925020416
TMEM60	-0.071632292	-2.423387848	3.414891597	0.92502758
AL118558.3	0.031160998	0.177933731	0.325023663	0.925034288
ZNF746	0.047263773	0.564666774	0.815820818	0.925037969
ADGB	-0.011422107	-0.002903882	0.010008384	0.925063453
C8A	-0.028642817	-0.00445838	0.025097675	0.925073623
CAPRIN1	0.326369667	0.061528504	8.046690278	0.925137076
INHBA	-0.012776876	-0.004515592	0.011195473	0.925139091
HSPA8P11	-0.205898887	-0.020753313	0.53240257	0.925168612
AC004148.2	-0.053490608	-0.036153969	0.344895465	0.925174658
PEX26	0.05748856	0.451230297	1.6099522	0.92528624
RPS3P6	-0.245559289	-0.032319367	3.811952352	0.925423831
DHX36	-0.114673218	-0.081254722	5.126674104	0.92554313
AC139491.1	-0.004629647	-0.00371269	0.004056633	0.925569507
FAM237B	-0.005818975	-0.01387733	0.010382922	0.925582091
RN7SL47P	-0.088947846	-0.004340575	0.090665232	0.925661082
THTPA	-0.038809835	-0.986049722	0.640801385	0.925690906
OR8B9P	-0.033972162	-0.00478899	0.036789818	0.925760827
AC131025.1	-0.02109081	-0.003379482	0.020064593	0.925784241
EPHX2	-0.026349199	-1.507562408	0.21811141	0.92589099
AC012313.9	-0.005479593	-0.004524061	0.00480138	0.925919976
AL731557.1	-0.003951476	-0.006478782	0.003684508	0.926026034
CTAGE15	0.011461387	0.062100066	0.082150218	0.926038364
UTP11	-0.567953095	-0.059291	7.321787221	0.926070653
AC015726.3	-0.012609089	-0.004583519	0.011048453	0.926106378
LINC01977	-0.004872017	-0.005619666	0.005567811	0.92611659
AL355336.1	-0.030717532	-0.005661839	0.028651285	0.926190387
AL049733.1	-0.00895358	-0.00468415	0.009213873	0.926225655
ZNF488	-1.569617499	-0.041478273	1.896678294	0.926228225
PSMD11	-0.022425164	-0.025151333	8.04315106	0.926279678
CCDC152	0.04191339	0.427080093	0.517705667	0.926325396
AC078778.2	-0.006346288	-0.014840187	0.011323817	0.926369283
AL513477.2	-0.004999122	-0.094559529	0.00892004	0.926415021
AL591503.3	0.005065083	0.009223805	0.017693699	0.926444642
RTL6	1.187872647	0.069798284	0.253890309	0.926480427
BX842559.2	-0.001440096	-0.004976543	0.002569594	0.926485718
AC073842.1	-0.040931808	-0.003355445	0.041659654	0.926538779
AC025165.5	-0.023645748	-0.022094743	0.125644002	0.926563154
EDEM3	0.076299348	2.87147262	4.071358106	0.926564899
MYOCD	-0.028987818	-0.004101518	0.029394229	0.926572495
SALL4P2	-0.124091595	-0.005056395	0.11487393	0.926632229
TYK2	0.065290351	1.146115124	2.368699594	0.926718556
DAZAP2P1	0.017386142	0.062367847	0.327028932	0.926753579
IRF2BP1	-0.851603986	-0.026455888	1.081826139	0.926776062
PABPC1	0.015711123	0.618427177	9.248752316	0.926813744
RANP1	-0.010565686	-0.156910138	0.115302436	0.926829974
AC132812.1	-0.573022508	-0.025682891	1.033068656	0.926893636
AC090099.4	-0.010732247	-0.005413682	0.00940391	0.926943356
AP001626.1	-0.010951159	-0.006910692	0.009595727	0.927041655
FGF8	-0.754308667	-0.005428311	0.785388976	0.927170478
LINC01198	-0.119347334	-0.005981299	0.120624024	0.92718854
C1QL4	-0.008631251	-0.005493357	0.007562955	0.927275003
SLC16A6P1	-0.136199305	-0.00544912	0.137787357	0.927311458
RABEPK	0.044603072	1.334377593	5.297126462	0.927363384
RPL7L1P13	-0.006983127	-0.005858594	0.010237972	0.927364648
AP002847.1	-0.028171899	-0.004532561	0.024685043	0.927415998
AC009318.4	-0.013345314	-0.006528953	0.013053298	0.927440124
AC008592.2	-0.006634134	-0.003718156	0.005813022	0.927457941
LINC01535	0.028181307	0.402718578	0.403529505	0.927463247
ZNF812P	-0.24506178	-0.0075222	0.277146228	0.927507815
AMZ2	0.900672505	0.069698662	6.182384573	0.927514417
GAPDHP41	-0.014752639	-0.383055002	0.29172743	0.927608748
AC099335.1	0.035011242	0.013257255	0.144993768	0.927674165
AL033519.1	-0.004573834	-0.005390723	0.00816119	0.927715804
AC005154.3	-0.004053359	-0.005724664	0.003551672	0.92772556
FKBP4P2	-0.026262519	-0.005729835	0.055602614	0.927844808
VSX2	-0.014383951	-0.004746612	0.019471721	0.927853285
AL079301.1	-0.017550142	-0.005995119	0.018828368	0.927855408
OR52A1	-0.035944511	-0.008194252	0.035341905	0.927872317
NAA16	-1.480485759	-0.09070906	4.181532323	0.927959957
AC036176.2	-0.054178618	-0.006343293	0.054967105	0.928023055
SMURF2	-0.137009103	-0.084698771	2.645077365	0.928084481
AL023807.1	-0.002903566	-0.006160821	0.00254419	0.92808912
PCGF2	0.010382222	0.056069343	0.089804329	0.928140366
COA1	-0.033205168	-1.000356203	5.403339887	0.928227029
HIKESHI	-0.027912517	-1.089528608	5.50616817	0.928255429
GUCY1A2	0.106504974	0.024759321	0.038626071	0.928403289
AC020910.4	-0.091502194	-0.032360518	0.420626013	0.928494573
MAP2K1	1.549533721	0.072560418	2.817919663	0.928526296
FAS	-0.065470651	-0.005766106	0.058033814	0.928535558
MLKL	-0.666477898	-0.006822609	0.656047261	0.928580453
AC091078.1	-0.009661778	-0.004640245	0.017239718	0.928726336
AC006213.4	0.027826742	0.233301948	0.260690238	0.928728098
CCT5P2	-0.025943505	-0.505245623	0.912688593	0.928801993
ENTPD8	-0.28076838	-0.004549932	0.300526913	0.928877618
KANTR	0.068688982	0.876124693	2.53629569	0.928881658
PPARGC1A	-0.560804371	-0.029996557	0.720514339	0.928882209
DLK2	-0.175806781	-0.008681024	0.179292485	0.928934512
LINC01668	0.012732086	0.085551581	0.083467591	0.928952416
AC090220.1	-0.012623418	-0.007228705	0.011061009	0.928993669
AC073488.1	-0.44298105	-0.006079399	0.428010817	0.929003872
SAP30L-AS1	-0.067441759	-0.020532085	0.164947745	0.929025019
AC008694.2	0.048511833	0.013336974	0.157040074	0.929041792
ATP1A1	0.031676058	1.661779033	7.228829579	0.929089783
HIPK1	-0.952738147	-0.086646483	3.614084354	0.929104519
DAO	-0.005147438	-0.009125871	0.009184685	0.929145358
CD151	0.0324794	3.049271263	4.559250188	0.929148258
RNF182	0.163214082	0.024635196	0.013245551	0.929164102
DDTL	-0.201142975	-0.011847239	0.387915458	0.929247367
ATG12	-0.289445334	-0.064659643	6.731920328	0.929252824
CCDC18	-0.070459279	-0.244468399	3.497342069	0.929257574
DLX2	-0.067432638	-0.006645872	0.06120023	0.929270206
RPS27AP2	-0.024499621	-0.289475375	0.681515663	0.929272239
AC024581.2	-0.003056916	-0.015547125	0.00545452	0.929278925
HDX	-0.053639832	-1.119000704	0.848855333	0.929285241
AC090371.2	0.015099322	0.028222865	0.136327547	0.929340539
ZMYND19	0.056223425	1.620161541	2.416953182	0.929346685
G3BP1	-0.019773161	-0.080335646	9.1444262	0.929366977
LINC01843	-0.010503491	-0.00493192	0.018741605	0.929549337
POTEG	-0.005285605	-0.046447445	0.031788281	0.929643075
AL132656.2	-0.022304553	-0.181608267	0.419989649	0.92966088
DNAAF1	-0.021661139	-0.005068655	0.022302882	0.929720552
LINC00607	-0.097064162	-0.006001316	0.092226415	0.929749235
SOX12	-0.019572823	-1.588048757	0.233036337	0.929752414
AIDA	-0.04715318	-0.066027049	2.252233313	0.929937908
NEDD8	-0.182024021	-0.019513514	7.243453626	0.929949786
MIB1	-0.075010993	-1.667327508	2.874623158	0.929967236
AC019294.1	0.041418302	0.008501399	0.000890404	0.930053465
BICD2	0.065635348	1.776572324	3.332576668	0.930419543
C11orf65	0.119147026	0.044133562	0.480990471	0.930486675
ARV1	-1.224710816	-0.081605446	2.873905159	0.93051013
OAF	0.138669703	0.019471132	0.02050162	0.930616887
PRLHR	-0.13531203	-0.014695162	0.191065926	0.930859474
KIAA1328	0.487243324	0.059387559	0.691932549	0.931047188
AC091806.1	-0.103834589	-0.006171336	0.101571661	0.931070555
CASC19	-0.384303623	-0.021922339	0.443848167	0.931132328
SLC24A4	-0.004520129	-0.006777704	0.008065364	0.931266388
NUBP1	0.046224884	1.99212014	4.091163142	0.931278717
GAPDHP25	0.128149268	0.012557132	0.038730284	0.931498031
HSPE1P6	-0.026540116	-0.979801667	1.048862527	0.931498618
AC021087.2	0.039104906	0.085022844	1.409085758	0.931535035
IL37	-0.006536302	-0.006847195	0.007596976	0.931538937
BBS5	-0.019330677	-0.024011544	0.25625299	0.931565077
SCRIB	-0.175017437	-0.008316996	0.240683033	0.931572808
TMEM114	-0.007156065	-0.008360971	0.006270353	0.931583698
SMIM11B	0.075665725	0.015331057	0.165741129	0.931645522
AC092835.1	-0.152446989	-0.02954645	0.346961088	0.931771015
SDHC	0.02489409	0.510769585	6.180217778	0.931857414
TMEM263	-0.791596903	-0.090417287	3.280024817	0.931859753
HEG1	0.060412718	1.136384847	1.469364424	0.932244065
GEMIN7	0.037407181	0.270487147	4.647792442	0.932258595
AP001469.3	-0.02305706	-0.157716737	0.218675445	0.932395178
MFSD8	0.070482886	2.125494526	4.472684439	0.932423123
DCUN1D3	0.052732852	0.886191002	1.620905262	0.932469819
AC093525.8	0.011230622	0.083951908	0.08258931	0.93256152
NME9	0.019733745	0.072179633	0.13578963	0.932849038
TIMM8BP2	-0.027975151	-0.688118168	1.29843607	0.932960948
OMG	-0.134547485	-0.018393388	0.241683726	0.932990028
AC093591.3	0.016302966	0.035275542	0.173778941	0.933090798
PPY2P	0.009740641	0.065054939	0.058422336	0.933091733
CORO6	0.022152919	0.192349874	0.202514463	0.933128764
SYCE2	-0.018264395	-0.138951319	0.161960078	0.933136447
IMPA1	-0.066177969	-0.831071999	4.069664788	0.933206606
ALG6	0.065834818	0.649061105	5.388919257	0.933256794
CFD	0.008402987	0.074334512	0.071901663	0.933336319
BTBD2	0.527325959	0.048073188	0.874771251	0.933459835
LINC01465	0.042295135	0.010645127	0.027229726	0.933461443
IFRD1	0.050449352	2.364150831	6.227400806	0.933713556
ATP5G1P4	0.029705559	0.6765811	1.84333624	0.933842116
TCAF1	2.550859692	0.071210731	0.533569494	0.933936765
CLCN6	0.051944633	0.239173394	1.618052625	0.934143447
CYTOR	-1.808385696	-0.043230833	4.006606646	0.934239492
TUBB2BP1	-0.016346407	-0.064695669	0.343108281	0.934249766
LINC01415	0.251608743	0.031405708	0.09942904	0.934334036
CCDC127	-0.057350487	-0.475044622	2.533911563	0.934443762
IMPACT	-0.073355698	-1.10999782	3.689709783	0.934494315
SMARCB1	-0.019487408	-0.05953093	0.441629376	0.93458588
POLR2H	-0.167811324	-0.038823382	6.653697704	0.934622645
IPMK	-5.454968676	-0.066911556	6.395374366	0.934640933
AC121761.1	-0.033138013	-0.012567859	0.078172594	0.934657636
FANCE	0.057769815	2.458082652	2.889599781	0.934676401
FOXO3B	0.024127495	0.150627653	0.354063545	0.93472216
PADI4	-0.006364896	-0.039214383	0.011357021	0.934745841
AC015920.1	-0.006150336	-0.080376114	0.010974176	0.934745864
FGD5P1	-0.005862307	-0.01155985	0.010460241	0.934745897
LINC01801	-0.005735644	-0.184493147	0.010234234	0.934745913
AC112250.2	-0.005354455	-0.026789862	0.009554068	0.93474597
AC016397.2	-0.005263481	-0.019815884	0.009391741	0.934745985
PCDHGA1	-0.005218407	-0.011972224	0.009311315	0.934745992
AL139240.1	-0.005192918	-0.024979828	0.009265834	0.934745997
TMIE	-0.005144633	-0.005105133	0.00917968	0.934746006
AC004223.4	-0.005064575	-0.010572674	0.00903683	0.934746021
AL512634.1	-0.005063757	-0.148211	0.009035371	0.934746021
AC020658.3	-0.004974165	-0.01032126	0.00887551	0.934746038
AC011753.2	-0.004972071	-0.012688125	0.008871772	0.934746039
SH2D1A	-0.004904352	-0.016858611	0.008750941	0.934746053
OR9K1P	-0.0048657	-0.004745182	0.008681973	0.934746061
TRPM2-AS	-0.00483516	-0.005297188	0.008627479	0.934746067
AL022334.2	-0.004792362	-0.009361758	0.008551114	0.934746077
CXCL11	-0.004738998	-0.008338913	0.008455896	0.934746089
EEF1DP7	-0.004722806	-0.018379889	0.008427003	0.934746093
AC098818.2	-0.004698845	-0.052123004	0.00838425	0.934746098
AC008015.1	-0.004693462	-0.007201485	0.008374646	0.9347461
RPS23P6	-0.004633453	-0.00293494	0.008267569	0.934746114
AC008761.3	-0.004563901	-0.01406472	0.008143467	0.934746132
PFN4	-0.004486327	-0.038116131	0.00800505	0.934746152
DYTN	-0.00440531	-0.021103644	0.007860488	0.934746175
FMO2	-0.004382629	-0.019042342	0.007820019	0.934746182
CRYBA1	-0.004377167	-0.025854544	0.007810273	0.934746183
AC018865.1	-0.004361366	-0.009367696	0.007782079	0.934746188
AC069023.1	-0.004321887	-0.017372811	0.007711636	0.9347462
BTN3A1	-0.004298375	-0.32924068	0.007669684	0.934746207
AC003992.1	-0.004288156	-0.010106901	0.007651449	0.93474621
ATG10-AS1	-0.004280854	-0.01581631	0.007638419	0.934746212
DKFZP434A062	-0.004226416	-0.018233067	0.007541285	0.93474623
AC005050.1	-0.004190178	-0.009848115	0.007476625	0.934746241
AL928921.2	-0.004111074	-0.011781217	0.007335478	0.934746268
CNTFR-AS1	-0.004030054	-0.01163291	0.007190912	0.934746298
AC012645.4	-0.004022358	-0.028193067	0.007177181	0.9347463
SCGB3A1	-0.004022358	-0.006089969	0.007177181	0.9347463
AL133406.3	-0.00399407	-0.038592517	0.007126704	0.934746311
C8orf86	-0.003975073	-0.048461705	0.007092809	0.934746318
AC006238.1	-0.003928501	-0.02414445	0.007009709	0.934746337
TTC39DP	-0.003915893	-0.006475288	0.006987212	0.934746342
RPS29P21	-0.003909858	-0.012385806	0.006976444	0.934746344
AL772363.1	-0.003869662	-0.003738448	0.00690472	0.934746361
AC016257.1	-0.003868685	-0.044237563	0.006902979	0.934746361
AC004817.3	-0.003851615	-0.012205511	0.00687252	0.934746368
AL391597.1	-0.003851615	-0.016512196	0.00687252	0.934746368
SAMD10	-0.003791824	-0.129057379	0.006765833	0.934746394
KCNQ5-AS1	-0.003780144	-0.009685767	0.006744992	0.9347464
AC113361.1	-0.003735794	-0.008547839	0.006665858	0.93474642
FOXS1	-0.003735794	-0.017785899	0.006665858	0.93474642
AC011396.2	-0.003703061	-0.007360752	0.006607451	0.934746435
AC118754.2	-0.003691642	-0.045897372	0.006587077	0.934746441
SNORA80C	-0.003591903	-0.011308529	0.00640911	0.934746491
AL157832.1	-0.003565638	-0.007882929	0.006362244	0.934746504
AL139294.1	-0.003558414	-0.013143508	0.006349355	0.934746508
AC090970.2	-0.003519525	-0.006052675	0.006279964	0.934746529
RN7SL146P	-0.003478505	-0.009623674	0.006206771	0.934746552
LINC01208	-0.003436944	-0.013469151	0.006132614	0.934746577
PCDHB10	-0.003393812	-0.357733308	0.006055652	0.934746603
AL590434.1	-0.003378125	-0.006421909	0.006027661	0.934746612
AC079168.1	-0.003377994	-0.01705849	0.006027428	0.934746612
C7orf77	-0.003377994	-0.004209224	0.006027428	0.934746612
SNORA62_ENSG00000202374	-0.003354189	-0.015548809	0.005984952	0.934746627
SCARNA21_ENSG00000252835	-0.003349512	-0.025078359	0.005976607	0.93474663
C11orf42	-0.003311454	-0.002495441	0.005908698	0.934746655
SEL1L2	-0.003264297	-0.061161385	0.005824556	0.934746687
RNA5SP349	-0.003258662	-0.015684756	0.005814501	0.934746691
AL163973.2	-0.003242546	-0.03689697	0.005785744	0.934746702
AC018529.3	-0.003239713	-0.06071911	0.005780689	0.934746704
AC078850.2	-0.003239713	-0.007174796	0.005780689	0.934746704
AL359915.1	-0.003212318	-0.056402109	0.005731808	0.934746724
RNU6-354P	-0.003201157	-0.011913696	0.005711893	0.934746732
AL589655.1	-0.003198514	-0.006475288	0.005707177	0.934746734
AC087884.1	-0.003197725	-0.026642632	0.005705769	0.934746734
AL049836.2	-0.003190902	-0.006021642	0.005693595	0.934746739
AL353693.1	-0.003187075	-0.027010706	0.005686766	0.934746742
AC023024.2	-0.003162803	-0.014038311	0.005643457	0.93474676
AC021739.3	-0.003129657	-0.005718642	0.005584314	0.934746786
AC004951.4	-0.003120993	-0.070964432	0.005568854	0.934746792
AC092335.1	-0.003104133	-0.009728489	0.005538771	0.934746806
AL357874.1	-0.003104133	-0.006576287	0.005538771	0.934746806
VCAM1	-0.003085045	-0.022308939	0.005504711	0.934746821
AC009779.7	-0.00302759	-0.004851672	0.005402195	0.934746869
OR51A5P	-0.003005819	-0.005371074	0.005363347	0.934746888
AC108099.1	-0.002980739	-0.008394566	0.005318596	0.93474691
AC097468.2	-0.002951356	-0.009875092	0.005266168	0.934746937
LINC01765	-0.00294326	-0.0128055	0.005251721	0.934746945
AC090330.1	-0.002940537	-0.025970686	0.005246863	0.934746947
AL513190.1	-0.002936391	-0.004549022	0.005239466	0.934746951
AC076968.1	-0.002934642	-0.053491488	0.005236345	0.934746953
AL139327.1	-0.002925044	-0.00576047	0.005219218	0.934746962
LINC02150	-0.002919123	-0.02153025	0.005208653	0.934746968
Y_RNA_ENSG00000199979	-0.002912691	-0.008866906	0.005197178	0.934746974
AL391704.3	-0.002909815	-0.004392197	0.005192046	0.934746977
AC091849.2	-0.002881367	-0.010374698	0.005141285	0.934747004
AL138781.1	-0.0028246	-0.010649548	0.005039994	0.934747063
AL356479.1	-0.002768204	-0.002864723	0.004939367	0.934747124
MTND4P17	-0.002758199	-0.012220574	0.004921513	0.934747135
OR7E2P	-0.002739854	-0.00232511	0.004888781	0.934747156
KCNQ1	-0.002719997	-0.056781949	0.00485335	0.934747179
AL354979.1	-0.002695695	-0.012230732	0.004809986	0.934747208
RNU6-742P	-0.002692744	-0.006787484	0.00480472	0.934747212
AC108752.1	-0.002692648	-0.001545635	0.00480455	0.934747212
SH3RF3	-0.002691014	-0.099869585	0.004801635	0.934747214
SLFN14	-0.002654427	-0.006761876	0.00473635	0.934747259
RNU1-77P	-0.002653369	-0.016581107	0.004734463	0.934747261
AL592221.1	-0.002652934	-0.01650365	0.004733687	0.934747261
LINC01331	-0.002651055	-0.00394047	0.004730334	0.934747264
AC093158.1	-0.002633765	-0.010845297	0.004699483	0.934747286
LINC01863	-0.002615084	-0.021446174	0.00466615	0.93474731
AC027348.2	-0.002587282	-0.00824007	0.004616543	0.934747348
SLC4A9	-0.002578333	-0.020388039	0.004600575	0.93474736
AC092296.3	-0.002568947	-0.004928517	0.004583827	0.934747373
NTNG2	-0.002555094	-0.01807283	0.004559109	0.934747392
Z84485.1	-0.002555094	-0.040166331	0.004559109	0.934747392
LMNTD1	-0.002529058	-0.00386507	0.004512652	0.93474743
SUMO2P16	-0.002521531	-0.013713689	0.004499221	0.934747441
MIR3132	-0.002492564	-0.003313367	0.004447535	0.934747484
SNORA31_ENSG00000252580	-0.002492564	-0.00448548	0.004447535	0.934747484
PCDHB17P	-0.00248942	-0.003391472	0.004441925	0.934747489
AL589642.2	-0.002485839	-0.014100359	0.004435535	0.934747495
HIGD1AP6	-0.002484675	-0.017547144	0.004433459	0.934747496
MIR5187	-0.002477612	-0.006641508	0.004420857	0.934747507
LINC01284	-0.002459163	-0.0098909	0.004387937	0.934747536
AC009486.1	-0.002451118	-0.020004245	0.004373582	0.934747549
RNU6-1327P	-0.002445662	-0.041951406	0.004363848	0.934747558
AC139792.3	-0.002444099	-0.037172484	0.004361057	0.93474756
AL645820.1	-0.002441835	-0.013570815	0.004357019	0.934747564
TMEM238	-0.0024218	-0.04998636	0.00432127	0.934747597
PRSS56	-0.002420712	-0.007084165	0.004319328	0.934747599
R3HDM2P1	-0.002407113	-0.02021575	0.004295063	0.934747621
NDST4	-0.00239711	-0.018055027	0.004277214	0.934747638
AC040169.2	-0.002370425	-0.009700593	0.004229599	0.934747685
AC008443.6	-0.002356577	-0.005259131	0.004204891	0.934747709
LINC01954	-0.002356577	-0.035675434	0.004204891	0.934747709
ENPP7P11	-0.002334861	-0.008739054	0.004166143	0.934747749
SPIN4-AS1	-0.002269436	-0.029645434	0.004049404	0.934747875
LINC00159	-0.002266703	-0.036470806	0.004044527	0.934747881
OR56A5	-0.002266703	-0.005145214	0.004044527	0.934747881
HMGB1P27	-0.002262521	-0.014098886	0.004037064	0.934747889
AC108463.3	-0.002252062	-0.00947771	0.004018403	0.934747911
AC092669.1	-0.002246993	-0.013192902	0.004009357	0.934747921
RNU6-514P	-0.002242563	-0.003714452	0.004001454	0.93474793
RNU6-506P	-0.002209057	-0.013238436	0.003941667	0.934748002
AL008582.1	-0.002185571	-0.025495483	0.003899761	0.934748054
EPN2-AS1	-0.002144672	-0.020286866	0.003826785	0.934748148
AP001180.4	-0.002099396	-0.037000834	0.003745996	0.934748259
RNA5SP259	-0.002097223	-0.014127729	0.003742119	0.934748265
AC010442.2	-0.002095745	-0.004955895	0.003739482	0.934748268
LINC01396	-0.002095745	-0.021768236	0.003739482	0.934748268
AL445648.1	-0.002095558	-0.016506781	0.003739149	0.934748269
RN7SL362P	-0.002093524	-0.003456186	0.00373552	0.934748274
AC092329.3	-0.002090075	-0.003738448	0.003729366	0.934748283
MTATP6P26	-0.002090075	-0.013500334	0.003729366	0.934748283
AC127526.3	-0.002072563	-0.018638682	0.003698118	0.934748328
AC117386.1	-0.002068192	-0.008761843	0.00369032	0.93474834
RNU2-34P	-0.002049478	-0.016892865	0.003656928	0.93474839
AL662907.1	-0.002039161	-0.011797073	0.003638518	0.934748418
AC011474.2	-0.002038806	-0.004580031	0.003637885	0.934748419
AC079779.2	-0.002031892	-0.020653811	0.003625548	0.934748438
LINC02250	-0.002017446	-0.013295206	0.003599772	0.934748479
AL008723.1	-0.002004934	-0.132112896	0.003577447	0.934748515
MARCKSL1P2	-0.001982246	-0.023568488	0.003536964	0.934748582
AC084782.3	-0.001980402	-0.021116741	0.003533673	0.934748588
RNU1-8P	-0.001960714	-0.012251883	0.003498543	0.934748648
AL139819.1	-0.001953093	-0.09201701	0.003484947	0.934748671
AC009097.1	-0.001942204	-0.004503955	0.003465517	0.934748706
