Gene	logFC	logCPM	F	PValue	FDR	logCPM_primed	logCPM_naive
CNEP1R1	0.690346687	5.98684643	1.90622007	0.186109823	0.393128173	5.641673087	6.332019773
AL133384.2	3.731179524	-3.489103658	1.901120536	0.186284444	0.393470386	-5.35469342	-1.623513896
AIP	0.779080706	4.673350001	1.905546438	0.186365857	0.393615692	4.283809648	5.062890354
LHFPL3-AS1	2.672191772	-2.906744656	1.900110907	0.186395307	0.39364618	-4.242840542	-1.570648771
RPL39P36	-1.620458909	-1.148514562	1.900017832	0.186405531	0.39364618	-0.338285107	-1.958744016
PQLC2	1.102646491	3.662026208	1.921215325	0.186496027	0.393810626	3.110702963	4.213349453
NISCH	0.923572444	3.909896311	1.910895052	0.186536801	0.393870062	3.448110089	4.371682533
AC007448.2	1.936966938	-1.858840561	1.898471204	0.186575531	0.39390628	-2.82732403	-0.890357092
TAS2R4	2.226346788	-2.01477178	1.898418871	0.186581287	0.39390628	-3.127945174	-0.901598386
LYPLA2P2	1.13503312	1.723434736	1.898322943	0.186591837	0.39390628	1.155918176	2.290951296
AAED1	-0.835916884	3.393447227	1.897935857	0.18663442	0.39396951	3.81140567	2.975488785
ANXA6	0.78162535	4.685509662	1.903816371	0.186671561	0.394021248	4.294696987	5.076322337
SLC20A1	-0.653215749	5.534942603	1.897449388	0.186687952	0.394029183	5.861550478	5.208334729
GPHA2	-1.664638899	-1.373852247	1.897151461	0.186720746	0.394061699	-0.541532797	-2.206171696
SH3GLB2	1.078853847	2.056070264	1.897079901	0.186728624	0.394061699	1.51664334	2.595497188
KCNK9	1.453045647	-0.30776557	1.896858976	0.186752948	0.39408637	-1.034288393	0.418757253
TRANK1	-1.397180273	1.050090708	1.907464335	0.186849191	0.394262789	1.748680845	0.351500571
ESYT1	-0.73000241	5.311301932	1.90208603	0.186870057	0.394280146	5.676303137	4.946300727
AC019193.2	-3.890593317	-3.257418314	1.905941174	0.186914731	0.394316546	-1.312121656	-5.202714973
NT5C3A	-0.670609139	5.790599379	1.895350143	0.18691918	0.394316546	6.125903949	5.455294809
BCL2L11	0.921627269	2.863807621	1.895295236	0.186925232	0.394316546	2.402993986	3.324621256
RBMX2	-0.690160514	4.894587859	1.894971408	0.186960935	0.394365191	5.239668115	4.549507602
SLC15A4	-0.872358313	3.136283784	1.894376864	0.187026506	0.394476828	3.57246294	2.700104627
IFT27	-0.740452076	4.460773944	1.894027635	0.187065036	0.394531417	4.830999982	4.090547906
CR769775.1	-3.668159653	-4.150888993	1.892855888	0.187194384	0.394777528	-2.316809167	-5.98496882
AC099791.2	-4.186938515	-4.855482061	1.892352492	0.187249988	0.394868096	-2.762012804	-6.948951319
C2orf74	-1.124973595	1.449806257	1.891606456	0.187332431	0.394990956	2.012293054	0.887319459
DHX35	0.836136422	3.582258126	1.891596109	0.187333575	0.394990956	3.164189914	4.000326337
AC007383.2	-1.298417846	0.621836575	1.89106424	0.187392379	0.395088239	1.271045498	-0.027372348
NUP153	0.654831377	5.469829978	1.890496729	0.18745515	0.39519387	5.142414289	5.797245666
AC048382.5	-2.449224882	-2.832749376	1.890285772	0.18747849	0.395216364	-1.608136935	-4.057361817
ALDH4A1	1.080441537	3.229704135	1.906367042	0.187505228	0.395246018	2.689483366	3.769924903
AC007637.1	-3.91114517	-1.9924746	1.917535274	0.187531356	0.395266993	-0.036902015	-3.948047185
HNRNPD	-0.637558613	8.018022275	1.889725265	0.187540522	0.395266993	8.336801581	7.699242968
RPL6P29	-2.961620742	-3.527159148	1.889606194	0.187553702	0.395268066	-2.046348777	-5.007969519
OSBPL3	0.816958039	3.60935351	1.889033149	0.187617154	0.395375076	3.20087449	4.017832529
AC010300.1	-1.541787964	-1.045929765	1.888562046	0.187669338	0.395458329	-0.275035783	-1.816823747
SNX15	3.687468731	-3.962585181	1.888162587	0.1877136	0.395521826	-5.806319546	-2.118850815
USP6NL	-0.777051864	4.100869147	1.887998259	0.187731812	0.395521826	4.489395078	3.712343215
DEPDC5	0.807379741	3.6082527	1.887932434	0.187739108	0.395521826	3.204562829	4.01194257
TIMELESS	0.694572237	5.640306604	1.889160817	0.18775019	0.395521826	5.293020486	5.987592723
AL079342.1	-1.095477568	1.519692558	1.887405515	0.187797523	0.395594823	2.067431342	0.971953774
CCDC174	0.72639131	4.580252514	1.886816467	0.187862853	0.395703111	4.217056859	4.943448169
CLC	-1.509476119	-0.728000769	1.886713273	0.187874301	0.395703111	0.026737291	-1.482738828
RNF145	-0.788988496	4.647537244	1.894205172	0.18789937	0.395729191	5.042031492	4.253042996
PRKXP1	4.148327286	-4.822853253	1.884947454	0.18807033	0.396062504	-6.897016896	-2.74868961
TUBB3	1.441872876	1.848445937	1.904674905	0.188088124	0.396073236	1.127509499	2.569382375
DRC3	1.532058778	-0.842584575	1.884437951	0.188126939	0.396128231	-1.608613964	-0.076555186
STPG2	2.174608112	-1.9841975	1.884203492	0.188152997	0.396156356	-3.071501555	-0.896893444
CXCR6	2.803629419	-2.164234935	1.894431128	0.188177424	0.396181047	-3.566049644	-0.762420226
KLF7-IT1	2.626686105	-2.431002686	1.884693121	0.188231642	0.396259947	-3.744345738	-1.117659633
RIPK1	0.880962437	3.05616266	1.883418183	0.188240307	0.396259947	2.615681441	3.496643879
AC117386.2	-2.507734223	-2.689798396	1.88196395	0.188402122	0.396573817	-1.435931284	-3.943665508
SETMAR	-0.757278341	4.054104747	1.880925572	0.188517771	0.396782563	4.432743917	3.675465576
ABHD14A	-1.132181516	1.631846115	1.880845143	0.188526732	0.396782563	2.197936873	1.065755357
CCDC191	-1.221203031	1.059241907	1.880507823	0.188564323	0.396834902	1.669843423	0.448640392
GTF2IRD1	1.031160484	1.961191884	1.879661753	0.188658649	0.397006627	1.445611642	2.476772126
HEATR6	-0.704201585	4.670730114	1.879251031	0.18870446	0.397075184	5.022830907	4.318629322
AC008764.6	-1.393155432	0.093872579	1.879129987	0.188717964	0.397075184	0.790450294	-0.602705137
TMEM53	0.88312936	3.770023523	1.886695557	0.188729416	0.397075184	3.328458843	4.211588203
NIPSNAP3B	1.173133058	0.872770215	1.877681739	0.188879627	0.397364416	0.286203686	1.459336744
COA5	-0.630115202	6.159611902	1.877104501	0.18894411	0.397445119	6.474669503	5.844554301
CAPN10	1.180230302	1.460682858	1.878169931	0.188950484	0.397445119	0.870567707	2.050798009
GATC	0.739610799	4.284320441	1.876996195	0.188956212	0.397445119	3.914515042	4.654125841
AL831711.1	3.546590327	-3.966288819	1.876739273	0.188984924	0.397478709	-5.739583983	-2.192993656
GLDC	0.656044273	5.382320579	1.876308137	0.189033117	0.397553265	5.054298442	5.710342715
NUS1P1	1.100815754	1.236983488	1.876113873	0.189054838	0.39757214	0.686575611	1.787391364
LSM1	0.661132331	5.287428696	1.875777708	0.189092431	0.39762439	4.956862531	5.617994862
NPAP1	-3.213992408	-2.838543416	1.885350607	0.189112961	0.397638156	-1.231547212	-4.44553962
XPO5	0.642713325	5.698216176	1.875491251	0.189124473	0.397638156	5.376859513	6.019572839
PPP1R9B	1.282707587	0.021457425	1.874523446	0.189232778	0.397782819	-0.619896369	0.662811218
AC025871.1	-2.696695816	-2.762136072	1.874445352	0.189241521	0.397782819	-1.413788164	-4.11048398
AC141930.3	-4.755657361	-4.016471598	1.884781817	0.189244287	0.397782819	-1.638642917	-6.394300278
AC124893.1	-4.755657361	-4.016471598	1.884781817	0.189244287	0.397782819	-1.638642917	-6.394300278
SFXN4	0.690823265	4.869393973	1.874216997	0.189267089	0.397803942	4.52398234	5.214805605
RBM20	-2.39075294	-1.885832119	1.880985102	0.189363694	0.397980171	-0.690455649	-3.081208589
CECR7	3.497708277	-3.278115625	1.878637608	0.189410275	0.39805125	-5.026969763	-1.529261486
JKAMP	-0.692685555	7.47267396	1.881087607	0.189586561	0.398394879	7.819016738	7.126331183
HYKK	-1.010064881	1.96364445	1.870919821	0.18963674	0.398457696	2.46867689	1.458612009
AL079307.1	3.618840926	-4.100139537	1.870793365	0.189650935	0.398457696	-5.909560001	-2.290719074
AC017104.5	-1.39747335	-0.3001276	1.870759151	0.189654776	0.398457696	0.398609075	-0.998864275
AL390774.1	-1.239783067	0.538188762	1.870344882	0.18970129	0.398528578	1.158080296	-0.081702771
AL158212.3	-1.507387	-0.967629344	1.86973127	0.189770212	0.398646523	-0.213935844	-1.721322844
RIMS4	-1.686228461	-0.739538868	1.869976251	0.189976545	0.399053088	0.103575363	-1.582653098
E2F7	-0.768920694	3.88939098	1.867508524	0.19002014	0.399099014	4.273851327	3.504930633
RNU1-122P	-4.033910231	-4.003860761	1.867474244	0.190023998	0.399099014	-1.986905645	-6.020815876
FAM86FP	-1.262850329	0.097823622	1.867346276	0.190038399	0.399102389	0.729248786	-0.533601543
TRMT2B	0.766217284	3.950075389	1.867145489	0.190060999	0.399105802	3.566966747	4.333184031
NFE4	1.59574944	-1.233940993	1.867104493	0.190065614	0.399105802	-2.031815713	-0.436066274
AC023908.1	-3.000426528	-1.551800983	1.894032721	0.190093896	0.399138321	-0.051587719	-3.052014247
LINC01481_ENSG00000257613	-2.036171825	-0.634975132	1.881732242	0.190121206	0.399168793	0.38311078	-1.653061044
ANKRD10-IT1	-1.174718825	0.940759117	1.866186635	0.19016897	0.399242206	1.52811853	0.353399704
LINC01709	1.213157658	0.908627719	1.865911705	0.190199943	0.399280357	0.30204889	1.515206548
AC108515.1	-2.584788777	-2.788505804	1.865794265	0.190213175	0.399281264	-1.496111416	-4.080900193
PXMP2	1.031812338	1.825496233	1.86556169	0.190239384	0.399309407	1.309590064	2.341402402
ACVR1C	-1.136604729	1.517252999	1.865124412	0.190288672	0.399385987	2.085555363	0.948950634
CYCS	0.647636111	9.824190188	1.864650834	0.190342069	0.399471182	9.500372132	10.14800824
CYCSP45	-1.131483374	0.978666784	1.86386865	0.190430305	0.399567433	1.544408471	0.412925097
NHP2	0.64018409	7.080584617	1.863856594	0.190431665	0.399567433	6.760492572	7.400676662
PCDHB12	-1.965102628	-2.087789516	1.86380342	0.190437666	0.399567433	-1.105238202	-3.07034083
UGGT2	-0.657652032	5.63441148	1.863718006	0.190447304	0.399567433	5.963237496	5.305585464
PLS3-AS1	-1.322230911	0.257595517	1.863644256	0.190455628	0.399567433	0.918710973	-0.403519938
USP1	0.619687595	7.687200485	1.863563084	0.190464789	0.399567433	7.377356687	7.997044283
AC005000.1	-0.651926462	5.515499989	1.863080557	0.190519259	0.39963308	5.84146322	5.189536757
SLX1A-SULT1A3	3.353713404	-3.919361235	1.862974837	0.190531196	0.39963308	-5.596217937	-2.242504533
ABCG1	-1.272900749	0.634557988	1.86294543	0.190534516	0.39963308	1.271008363	-0.001892386
LINC00485	4.601488244	-3.90182265	1.872453861	0.190618442	0.399736365	-6.202566772	-1.601078528
AP006545.2	-1.941425115	-1.589792881	1.862189835	0.19061986	0.399736365	-0.619080323	-2.560505438
AC007881.1	3.357011718	-3.589161182	1.862169081	0.190622205	0.399736365	-5.26766704	-1.910655323
MYO1A	3.106090898	-3.185932295	1.861173942	0.190772788	0.400025246	-4.738977744	-1.632886846
TMEM147-AS1	-0.9981557	2.45494571	1.860574511	0.19080247	0.400042724	2.95402356	1.955867861
OSER1-AS1	-0.906605714	2.72690958	1.860536479	0.190806772	0.400042724	3.180212438	2.273606723
TUBGCP3	0.772935585	3.857767185	1.860294828	0.19083411	0.40007315	3.471299393	4.244234978
CDCA5	0.742043668	5.709138144	1.871165908	0.190924195	0.400235108	5.33811631	6.080159978
FBXO27	-1.092965986	1.67637238	1.85930482	0.190946161	0.400236037	2.222855373	1.129889388
CLDN20	2.91393641	-2.073096421	1.875160281	0.1909503	0.400236037	-3.530064625	-0.616128216
NME9	1.686966069	-0.824217602	1.85998039	0.19100596	0.400325803	-1.667700637	0.019265433
CIITA	-3.771128089	-3.877800017	1.858387116	0.191050103	0.400355086	-1.992235972	-5.763364061
NHSL1	0.695317027	5.069139464	1.858298965	0.191060091	0.400355086	4.721480951	5.416797978
SRP54-AS1	-1.093570058	1.418412604	1.858266798	0.191063736	0.400355086	1.965197633	0.871627575
MIR590	-3.710471655	-3.96280718	1.858197629	0.191071573	0.400355086	-2.107571352	-5.818043007
GKAP1	0.942358448	3.400837104	1.866620659	0.191084106	0.400355086	2.92965788	3.872016328
AC044787.1	0.824794557	4.448948574	1.868445333	0.191103841	0.400369543	4.036551295	4.861345852
ZYG11B	0.677519658	5.123979431	1.857537966	0.191146343	0.400431691	4.785219602	5.46273926
AC114939.1	4.183010355	-4.617923914	1.856716158	0.191239543	0.400587089	-6.709429092	-2.526418736
AGBL2	-1.120873332	1.155804621	1.856632943	0.191248983	0.400587089	1.716241287	0.595367955
AC079098.1	3.814704156	-3.042040019	1.868181139	0.191259049	0.400587089	-4.949392097	-1.134687941
MGAT3-AS1	3.726292094	-3.619551412	1.858049161	0.191324838	0.400697978	-5.48269746	-1.756405365
KPNB1	0.613659747	7.265917142	1.855775871	0.191346249	0.400715914	6.959087269	7.572747016
GMPPA	0.753200958	5.290229299	1.866280899	0.191411507	0.400825667	4.91362882	5.666829779
IL17B	2.235206106	-2.15497787	1.854915294	0.191443975	0.400866745	-3.272580923	-1.037374817
YTHDF3-AS1	-1.186373082	1.255786555	1.854076788	0.191539255	0.401039332	1.848973097	0.662600014
ST20	-0.824108438	3.581855048	1.853683914	0.191583918	0.401105923	3.993909267	3.169800829
RAD54L	0.810258341	3.896542032	1.853324831	0.191624751	0.401148325	3.491412861	4.301671202
RAB43P1	1.422112253	-0.444193555	1.853279634	0.191629891	0.401148325	-1.155249681	0.266862571
SRSF6	0.65429283	8.85269245	1.852217632	0.191750725	0.401374336	8.525546035	9.179838865
AP001024.1	1.068930276	1.840436103	1.852087258	0.191765565	0.401378466	1.305970965	2.374901241
AC034268.1	1.557526498	-0.840077659	1.851609229	0.191819991	0.401465445	-1.618840909	-0.06131441
RAB22A	0.74050483	4.396637625	1.851426956	0.191840749	0.40147491	4.02638521	4.766890041
RIPOR3	-1.665149888	-1.379748226	1.851343496	0.191850255	0.40147491	-0.547173282	-2.21232317
RNPS1	0.648322475	8.049165192	1.850183824	0.191982397	0.401724486	7.725003955	8.37332643
GSTO3P	-2.116219561	-2.27736128	1.849832151	0.192022492	0.401759801	-1.2192515	-3.335471061
NRL	1.472718221	-0.420217483	1.849723169	0.19203492	0.401759801	-1.156576593	0.316141628
OGDHL	1.063611341	2.002083416	1.849659888	0.192042136	0.401759801	1.470277746	2.533889087
LINC01354	4.092240528	-4.751409654	1.849583981	0.192050793	0.401759801	-6.797529919	-2.70528939
AL360270.3	2.090042963	-2.291434873	1.849278017	0.192085692	0.401781601	-3.336456354	-1.246413392
AL031432.3	-1.555968878	-1.177793676	1.8492298	0.192091192	0.401781601	-0.399809237	-1.955778116
AL391095.3	3.038082925	-3.25978895	1.849153857	0.192099856	0.401781601	-4.778830413	-1.740747488
TBC1D17	0.954669249	3.499504276	1.859653258	0.192158813	0.401877965	3.022169652	3.976838901
ZNF84	0.622124496	6.470135319	1.848131675	0.192216516	0.401971694	6.159073071	6.781197567
AL590139.1	-1.004999232	2.199690245	1.847885388	0.192244638	0.402003552	2.702189861	1.697190629
AC026304.1	-1.795966671	-1.800892955	1.84771718	0.192263847	0.402016771	-0.90290962	-2.69887629
OCRL	-0.723384412	4.376600622	1.84681412	0.192367018	0.402176527	4.738292828	4.014908417
AK9	-1.157971083	1.986658851	1.854599834	0.192369776	0.402176527	2.565644392	1.407673309
SH3BP1	1.211670476	0.674422225	1.84662132	0.192389054	0.402176527	0.068586987	1.280257462
GADD45A	0.838366607	3.318767143	1.846556303	0.192396486	0.402176527	2.899583839	3.737950446
AC127526.4	-2.029250716	-2.239277839	1.846484301	0.192404716	0.402176527	-1.224652481	-3.253903197
AC012485.3	-3.769168808	-2.589552198	1.862037454	0.192438543	0.402220281	-0.704967794	-4.474136602
BMP1	1.408122653	1.129671324	1.857460013	0.192467971	0.402254835	0.425609998	1.833732651
ORMDL2	-0.695733467	4.819100993	1.845514695	0.192515595	0.402318696	5.166967727	4.471234259
HMGN2P6	-1.251496817	0.272975613	1.845438411	0.192524322	0.402318696	0.898724021	-0.352772796
AC027348.1	-3.901983017	-4.601775257	1.845151022	0.192557203	0.402360453	-2.650783748	-6.552766766
APOF	-3.069187966	-3.69790268	1.844449845	0.192637458	0.402501187	-2.163308697	-5.232496662
TRIO	-0.915799918	2.616922733	1.844315876	0.192652796	0.402506275	3.074822692	2.159022774
APOOP5	-0.80728704	3.779642528	1.844181247	0.192668212	0.402511522	4.183286048	3.375999009
TNIP1	-1.032836906	2.234393265	1.843513751	0.192744666	0.402632676	2.750811717	1.717974812
AC008966.1	-1.198407927	0.650698206	1.843449567	0.19275202	0.402632676	1.249902169	0.051494242
MAP2K3	1.009101674	4.308717657	1.866974511	0.192798358	0.402702504	3.80416682	4.813268494
RNA5SP131	4.195463193	-4.43552972	1.842919174	0.1928128	0.402705703	-6.533261317	-2.337798123
XKR7	-1.774491052	-1.068692995	1.843694741	0.192848754	0.402753828	-0.181447469	-1.955938522
PCDHB13	-1.440780396	-0.766014942	1.84240808	0.192871392	0.40277414	-0.045624744	-1.48640514
C2CD3	0.863166937	3.103938928	1.841885812	0.192931288	0.402859107	2.672355459	3.535522396
PKHD1L1	-2.325818919	-2.17660793	1.841805144	0.192940542	0.402859107	-1.01369847	-3.33951739
UBA3	-0.633628265	7.564771073	1.841715511	0.192950824	0.402859107	7.881585206	7.247956941
C17orf105	3.865357462	-4.533045708	1.84135416	0.192992285	0.402918702	-6.465724439	-2.600366977
SYS1	0.779311867	4.113856125	1.841066781	0.193025265	0.402948062	3.724200191	4.503512058
PTPN1	0.676220713	4.933411396	1.84100651	0.193032183	0.402948062	4.59530104	5.271521753
ENSA	-0.611537576	6.724465509	1.840690495	0.193068461	0.402996821	7.030234297	6.418696721
AP000911.1	-3.732960513	-3.294141636	1.848688572	0.193125875	0.40308969	-1.427661379	-5.160621893
MTCYBP32	1.586829701	-0.939792059	1.839964967	0.193151781	0.403116787	-1.733206909	-0.146377208
AL109761.1	3.151866639	-2.531196362	1.851521047	0.193194168	0.403178275	-4.107129681	-0.955263042
OR7E163P	3.549028331	-3.586995455	1.840201039	0.193249429	0.403266621	-5.36150962	-1.81248129
RAD51AP1P1	-1.330748223	-0.229729669	1.838907187	0.193273338	0.403289534	0.435644443	-0.89510378
HIST1H2AH	-1.040458506	1.812369216	1.838748523	0.19329158	0.403300619	2.332598469	1.292139963
AC016924.1	-3.809463608	-3.629230395	1.841589072	0.193315783	0.403316953	-1.724498591	-5.533962199
CDC16	0.674277537	5.340008651	1.838345652	0.193337908	0.403316953	5.002869882	5.677147419
F5	-4.012153782	-2.098235862	1.864756624	0.193348611	0.403316953	-0.092158971	-4.104312753
AL357568.2	-1.745497328	-1.517065052	1.838230715	0.193351127	0.403316953	-0.644316387	-2.389813716
ADAMTSL4	1.459792544	-0.589384226	1.837916504	0.193387273	0.403348544	-1.319280497	0.140512046
MME-AS1	-4.072828395	-3.750249262	1.841189711	0.193392134	0.403348544	-1.713835064	-5.78666346
SLC29A3	0.882400332	3.498108019	1.839442154	0.193422062	0.403366535	3.056907854	3.939308185
MIR101-1	-1.556679583	-1.118884086	1.837516299	0.193433322	0.403366535	-0.340544294	-1.897223877
AC008972.1	2.514085355	-1.805529579	1.847493155	0.193439554	0.403366535	-3.062572256	-0.548486902
AL606763.1	-1.502078205	-0.631631769	1.8372815	0.193460346	0.403382926	0.119407334	-1.382670871
SLC25A31	2.696324017	-1.647984884	1.852532906	0.193498502	0.403435516	-2.996146892	-0.299822876
LIN37	1.258859263	0.878682106	1.836837476	0.193540519	0.403466401	0.249252474	1.508111737
RN7SL614P	3.80090801	-4.29684224	1.836538037	0.193545945	0.403466401	-6.197296245	-2.396388235
AC133435.1	0.917676208	3.197840606	1.837567783	0.193552118	0.403466401	2.739002502	3.65667871
AC012651.1	3.579650026	-3.149061269	1.84546462	0.193603254	0.403546028	-4.938886282	-1.359236256
PTGS1	-3.518513309	-0.706290245	1.888981855	0.193631943	0.403578859	1.052966409	-2.4655469
NR3C1	0.932165576	2.550479794	1.83551649	0.193663639	0.403617952	2.084397006	3.016562582
AL050341.1	3.471263717	-3.756283854	1.83530972	0.193687472	0.403640654	-5.491915713	-2.020651996
ASS1P6	3.712566808	-4.344592847	1.834905995	0.193734018	0.403710683	-6.200876251	-2.488309444
PLCL2-AS1	-4.716891458	-4.04838705	1.844002001	0.19383833	0.403876715	-1.689941321	-6.406832778
DNAH12	3.580122219	-2.909025814	1.845269407	0.193854367	0.403876715	-4.699086924	-1.118964705
AC068305.3	-3.698584399	-3.536938009	1.837773095	0.19386417	0.403876715	-1.687645809	-5.386230208
NPTN	0.646796046	5.993670925	1.83376635	0.193865485	0.403876715	5.670272901	6.317068948
IPCEF1	-1.228647874	0.62344509	1.833586495	0.193886242	0.403892985	1.237769027	0.009121153
ATG9A	1.034087734	4.463092374	1.861737969	0.193911064	0.403917716	3.946048507	4.980136241
AC007342.7	-1.659983295	-1.440623428	1.833199448	0.193930923	0.403926883	-0.61063178	-2.270615075
PLPBP	-0.633625343	6.112123329	1.833109029	0.193941363	0.403926883	6.428936	5.795310657
DNAJC19P5	-3.436120939	-2.816420823	1.844319601	0.193962916	0.403944801	-1.098360354	-4.534481293
NME2	0.808527488	5.707468132	1.851774635	0.193980151	0.403953725	5.303204388	6.111731875
AC023154.1	3.626341266	-4.306546435	1.832397242	0.19402357	0.404017171	-6.119717069	-2.493375802
AC098976.1	3.391050422	-3.878848785	1.831399185	0.194138914	0.404230369	-5.574373996	-2.183323574
SDF2	0.629521181	6.020251441	1.831084272	0.194175326	0.404279199	5.70549085	6.335012032
AL121983.1	-3.120312792	-3.76683985	1.82931387	0.194380191	0.404659774	-2.206683454	-5.326996246
ZNF593	3.464994093	-3.844772804	1.82907956	0.194407325	0.404659774	-5.577269851	-2.112275758
ASXL1	-1.021384089	2.023847746	1.829072094	0.194408189	0.404659774	2.534539791	1.513155702
C16orf45	-2.904614769	-3.501270701	1.82905639	0.194410008	0.404659774	-2.048963317	-4.953578086
AC120349.3	-2.757226414	-3.214833264	1.828568379	0.194466538	0.404750431	-1.836220057	-4.593446471
ERMP1	-0.744729858	4.236723781	1.828138534	0.194516347	0.404827088	4.609088709	3.864358852
RPSAP51	3.49856497	-2.085456646	1.849238521	0.194534345	0.404837536	-3.834739131	-0.336174161
EIF3FP3	0.623033765	7.036577988	1.827715605	0.19456537	0.404872346	6.725061106	7.348094871
TMEM245	-0.639813459	5.837391958	1.827615019	0.194577031	0.404872346	6.157298688	5.517485229
TTC38	-0.894185112	3.245879371	1.827332293	0.194609814	0.40491355	3.692971927	2.798786815
AL671855.1	2.993018436	-3.291539096	1.82702995	0.19464488	0.404939063	-4.788048313	-1.795029878
GATAD1	-0.754423319	3.958302784	1.827002705	0.19464804	0.404939063	4.335514443	3.581091125
KDSR	-0.647403928	5.44282391	1.826818282	0.194669434	0.404956562	5.766525874	5.119121946
NRBF2P2	2.069022906	-2.320320459	1.826566254	0.194698674	0.40499038	-3.354831912	-1.285809006
AL009031.1	-1.446496943	-0.558654531	1.825886379	0.194777582	0.4051275	0.164593941	-1.281903003
BRINP2	-4.324347755	-3.195263788	1.836551447	0.194792719	0.405131969	-1.033089911	-5.357437666
ZNF252P-AS1	-1.634225383	-1.429819837	1.825472751	0.194825608	0.405170251	-0.612707145	-2.246932528
LGALS9	2.834920375	-2.740239968	1.826446507	0.194837103	0.405170251	-4.157700155	-1.32277978
PDXDC1	1.269148205	-0.009182923	1.825211248	0.194855979	0.405182491	-0.643757026	0.625391179
CD248	1.421840561	1.168752354	1.835725317	0.19500602	0.405467456	0.457832073	1.879672634
AC027575.3	2.822493748	-2.202251297	1.835470415	0.195031408	0.405481012	-3.613498171	-0.791004423
PMF1-BGLAP	-1.477507185	-0.780969504	1.823640432	0.195038538	0.405481012	-0.042215911	-1.519723096
AC010275.1	1.810635106	-1.833265382	1.823137251	0.195097062	0.405548465	-2.738582935	-0.927947829
AS3MT	-1.603221473	-1.060524951	1.823074434	0.19510437	0.405548465	-0.258914214	-1.862135687
AC141930.1	-3.574702189	-2.28212518	1.843626403	0.195109987	0.405548465	-0.494774085	-4.069476275
AC011481.1	-3.744721733	-3.084620234	1.833508079	0.195143102	0.405590271	-1.212259367	-4.956981101
CASC9	-0.760319456	3.905408571	1.822450798	0.195176939	0.405633571	4.285568299	3.525248843
AC007448.3	-2.317611648	-2.23727647	1.822167698	0.195209893	0.405655365	-1.078470645	-3.396082294
RASGEF1B	-0.99319908	2.269441481	1.822085393	0.195219475	0.405655365	2.76604102	1.772841941
RP1	2.810246805	-3.155627859	1.822025572	0.19522644	0.405655365	-4.560751262	-1.750504456
RNA5SP450	-4.153871901	-4.644815523	1.821476857	0.19529034	0.405745625	-2.567879573	-6.721751474
THAP9	-0.685705942	5.401321599	1.821429174	0.195295894	0.405745625	5.74417457	5.058468628
SLX1A	1.573507151	-1.102619886	1.821139757	0.195329609	0.405788644	-1.889373461	-0.31586631
SLC38A5	-0.858801979	3.737027198	1.824700656	0.195429333	0.405968779	4.166428188	3.307626209
HERC2P2	-0.909714866	2.607750145	1.819648216	0.195503481	0.406095764	3.062607578	2.152892713
UHRF1	0.846750609	3.607525901	1.819466327	0.195524698	0.406112791	3.184150597	4.030901206
C1orf112	-0.692110715	4.921209296	1.819300519	0.195544041	0.406125925	5.267264654	4.575153939
AC004160.1	-1.818274414	-1.860856063	1.819099363	0.195567511	0.406147628	-0.951718856	-2.76999327
PSD4	1.553809631	-1.174415707	1.818799206	0.195602539	0.406193329	-1.951320523	-0.397510892
AC074141.1	1.010361227	2.003841017	1.818546492	0.195632037	0.406204923	1.498660404	2.509021631
MCCC1	-0.690076719	4.701582817	1.818528245	0.195634167	0.406204923	5.046621177	4.356544458
DRC1	-3.085533443	-3.493286501	1.818351269	0.195654827	0.406220782	-1.95051978	-5.036053222
PHKA2-AS1	3.279816255	-3.707865958	1.81811983	0.195681851	0.406249848	-5.347774085	-2.06795783
KCTD7	-0.850188169	3.278588008	1.816937323	0.195819995	0.406509591	3.703682092	2.853493923
MCFD2	-0.613877181	6.827607361	1.816790768	0.195837125	0.406518097	7.134545951	6.52066877
CTSLP2_ENSG00000266217	-3.902138144	-4.571566514	1.816652017	0.195853344	0.406524712	-2.620497442	-6.522635586
ACTR3C	-1.770354293	-1.666716253	1.816435224	0.19587869	0.406544759	-0.781539107	-2.551893399
ORMDL3	0.972614934	2.224023222	1.816346453	0.195889069	0.406544759	1.737715755	2.710330689
PRPSAP2	-0.617741084	6.214748305	1.816109187	0.195916815	0.406575291	6.523618847	5.905877763
TFRC	0.614221629	7.84487103	1.815845966	0.195947601	0.406612129	7.537760215	8.151981845
AL450384.2	-1.221333253	0.251315857	1.815606963	0.19597556	0.406643095	0.861982483	-0.35935077
SERF1B	-2.603854507	-3.101596479	1.815455436	0.195993289	0.40665283	-1.799669225	-4.403523733
RNU6-125P	3.123113928	-2.552455424	1.825968754	0.196075344	0.406792711	-4.114012387	-0.99089846
CFDP1	-0.626092883	6.13287489	1.814656571	0.196086789	0.406792711	6.445921332	5.819828449
RAPGEF1	1.009438247	3.001747544	1.824303681	0.196115621	0.406825468	2.497028421	3.506466668
RGS2	-0.633249163	5.666824985	1.814080966	0.196154193	0.406874558	5.983449567	5.350200404
PPIAP19	-1.104595342	1.102467908	1.81395946	0.196168426	0.406874558	1.654765579	0.550170237
LINC01958	3.125652525	-2.652507704	1.824888734	0.196200576	0.406874558	-4.215333967	-1.089681442
TARDBPP2	-2.066146748	-2.276690512	1.813615879	0.196208677	0.406874558	-1.243617138	-3.309763887
ERLEC1	0.607597122	7.096604204	1.813567886	0.196214301	0.406874558	6.792805642	7.400402765
